angle_slope,auxiliaries_power_loss,engine_capacity,engine_max_power,f0,f1,f2,has_start_stop,n_wheel_drive,vehicle_mass,AvgV,InitT
0.015280448,0.488357534,1969,133,160.2934774,0.303946808,0.034251866,1,2,1726,19.39122807,23
-0.033091809,0.753116471,1969,133,160.2934774,0.303946808,0.034251866,1,2,1726,19.39122807,23
0.011982287,0.945627251,2400,158,164.2112668,0.303946808,0.034251866,1,2,1770,19.39122807,23
0.031292957,0.950068697,2400,158,164.2112668,0.303946808,0.034251866,1,2,1770,19.39122807,23
0.001937439,1.291966948,2400,158,164.2991945,0.303946808,0.034251866,1,2,1771,19.39122807,23
-0.020910536,0.676215502,2400,158,164.2112668,0.303946808,0.034251866,1,2,1770,19.39122807,23
0.052795586,0.284489458,2400,158,164.2112668,0.303946808,0.034251866,1,2,1770,19.39122807,23
-0.014039454,0.068569807,1560,84,163.9735677,0.259832616,0.035481787,1,2,1767,19.39122807,23
0.001406129,0.423279759,1560,84,163.9735677,0.259832616,0.035481787,1,2,1767,19.39122807,23
0.026346083,0.312032896,1560,84,163.9735677,0.259832616,0.035481787,1,2,1767,19.39122807,23
0.018351092,0.603209437,1560,84,163.9735677,0.259832616,0.035481787,1,2,1767,19.39122807,23
0.016262886,1.317698278,1560,84,163.9735677,0.259832616,0.035481787,1,2,1767,19.39122807,23
-0.050197249,1.5361791,1984,100,171.8743639,0.259832616,0.035481787,1,2,1856,19.39122807,23
-0.06717051,1.213678251,1984,100,171.8743639,0.259832616,0.035481787,1,2,1856,19.39122807,23
-0.016554811,0.249516676,1984,100,171.8743639,0.259832616,0.035481787,1,2,1856,19.39122807,23
0.03887735,0.341780801,1969,133,170.0830208,0.259832616,0.035481787,1,2,1836,19.39122807,23
0.022275953,1.059840083,1969,133,170.0830208,0.259832616,0.035481787,1,2,1836,19.39122807,23
-0.018457993,0.907237925,1969,133,170.0830208,0.259832616,0.035481787,1,2,1836,19.39122807,23
