angle_slope,auxiliaries_power_loss,engine_capacity,engine_max_power,f0,f1,f2,has_start_stop,n_wheel_drive,vehicle_mass,AvgV,InitT,av_engine_speeds_out_pos_pow,av_missing_powers_pos_pow,av_neg_motive_powers,av_pos_accelerations,av_pos_engine_powers_out,av_pos_motive_powers,av_vel_pos_mov_pow,co2_emission,max_power_required,specific_fuel_consumption,sufficient_power,time_percentage_neg_mov_pow,time_percentage_pos_mov_pow,willans_a,willans_b,willans_efficiency
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,92.56978193,79.95879224,2369.98223,0,-12.61578844,0.298841893,8.627988383,8.617861805,100.6284024,53.33318545,29.22989056,288.5826732,1,0.457943925,0.526479751,184.5055188,897.9764787,0.286118381
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,92.56978193,82.7213041,2282.078415,0,-9.472628867,0.298841893,20.63165849,19.39984475,99.30540541,138.7408089,44.16828348,237.4709388,1,0.177570093,0.806853583,195.9963285,855.6899953,0.347700682
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,102.2450704,80.68768509,2490.293775,0,-11.29870864,0.258323981,14.66704488,13.44462061,106.5012853,85.47443065,35.67436699,254.0233921,1,0.315140845,0.684859155,188.7004577,958.0944104,0.32504411
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,102.2450704,80.4231187,2560.165945,0,-12.85545644,0.258323981,9.364229238,9.116457541,108.9778502,52.04528802,29.22989056,290.4259652,1,0.459507042,0.540492958,184.2483475,994.2715519,0.284302429
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,102.2450704,83.01688468,2404.521158,0,-10.28932996,0.258323981,21.99500752,20.28938273,104.8725773,138.1133628,44.16828348,237.4648917,1,0.146126761,0.853873239,195.8662323,914.9628264,0.347709536
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,109.9372917,81.73989605,2623.435725,0,-10.37008273,0.240013774,15.78298815,14.56923435,114.1136905,87.00203583,35.67436699,253.9752656,1,0.3,0.7,188.8497715,1027.874901,0.325105703
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,109.9372917,80.45778861,2705.540059,0,-12.94969994,0.240013774,10.13469396,9.505616559,114.6144928,52.83978397,29.22989056,290.2455791,1,0.425,0.575,184.397985,1072.732973,0.284479121
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,109.9372917,85.87340403,2513.270673,0,-9.862583741,0.240013774,23.32063797,21.48858247,111.0538642,140.8451577,44.16828348,237.5494566,1,0.110416667,0.889583333,195.9603111,969.8854063,0.347585755
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,118.3382682,88.33474914,2572.34848,0,-10.80053378,0.186125966,15.52007933,14.39230665,119.5300353,89.22476569,32.69598276,253.3840859,1,0.209497207,0.790502793,188.9077166,1000.678366,0.325864219
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,118.3382682,84.48310917,2661.589701,0,-11.83802214,0.186125966,9.873711566,9.296192787,121.0631111,52.45966059,24.13432378,290.5112376,1,0.37150838,0.62849162,184.3160146,1048.541001,0.284218979
